loss,val_loss
40610004.0,70952128.0
41213016.0,63037904.0
42175684.0,89091176.0
40819556.0,71052512.0
39236884.0,73035432.0
41003648.0,91619624.0
41004748.0,95080008.0
39077568.0,107945632.0
38660956.0,91882688.0
37947032.0,79355208.0
37408652.0,67307488.0
36201492.0,64469876.0
36278216.0,59800628.0
37585964.0,63998836.0
38330208.0,69228424.0
38139176.0,93199824.0
36219988.0,65258360.0
37173840.0,74076704.0
36584636.0,76310192.0
36256048.0,63871544.0
36080848.0,59773408.0
36785816.0,58866176.0
36491620.0,61239788.0
35542084.0,72232688.0
36629596.0,72226528.0
36131448.0,62442308.0
36352368.0,61078388.0
36829396.0,69679520.0
37347996.0,70863424.0
36093984.0,66918644.0
35564316.0,56380808.0
36067636.0,83030008.0
36254776.0,75032568.0
36097828.0,62077736.0
35803012.0,61812792.0
36467712.0,54893592.0
39141824.0,78280040.0
39964604.0,87089072.0
38511524.0,79793664.0
39613160.0,67962440.0
41524128.0,57779116.0
38474252.0,83673216.0
38704592.0,85089096.0
38096900.0,95745120.0
38259728.0,80964736.0
37829976.0,66605308.0
38065148.0,75882328.0
38249856.0,86928912.0
37610436.0,96599936.0
37748076.0,75276448.0
36762568.0,71896200.0
38238916.0,54855148.0
44001688.0,111138312.0
43920624.0,124997456.0
46223924.0,119121816.0
46151172.0,115171760.0
44190976.0,107050336.0
53702196.0,76204976.0
49246188.0,70676416.0
44774664.0,72168840.0
42424820.0,81794392.0
40103960.0,70292856.0
40179364.0,69557272.0
40150972.0,79226984.0
38721104.0,71786752.0
38479760.0,77583936.0
38112452.0,108664512.0
39679972.0,129545648.0
38955056.0,110855496.0
37154616.0,99705832.0
36479144.0,88791760.0
36655916.0,80517664.0
36206084.0,90167832.0
38810308.0,71658720.0
39712728.0,69042624.0
39194220.0,84141128.0
38932880.0,103510072.0
38349312.0,101083616.0
38727648.0,171937840.0
46331596.0,101637944.0
39495912.0,106096328.0
38733348.0,93933840.0
39083316.0,70080936.0
38284428.0,99050576.0
37595464.0,103201184.0
37583680.0,95617240.0
38945512.0,84116432.0
38971844.0,110379824.0
38882452.0,98551448.0
38723748.0,86050432.0
37866844.0,86130880.0
38652644.0,90569880.0
37113272.0,93646560.0
36698552.0,92053192.0
